AID,AName,Description,Benefits,Contraindications,Breathing,awareness,You tube Vdo link,Photo,References,Variations,Level
1,Padanguli Naman,"Sit in the base position with the legs outstretched and the
feet together. Place the hands beside and slightly behind
the buttocks.
Lean back a little, using the arms to support the back.
Keep the spine straight.
Be aware of the toes. Move only the toes of both feet slowly
backward and fotward, keeping the feet upright and the
ankles relaxed and motionless.
Hold each position for a few seconds.
Repeat 10 times.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,
arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is
particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale as the toes move backward.
Exhale as the toes move fotward.","On the stretching produced by the movement and
the breath.",,,,,Beginners
2,Goolf Naman,"Remain in the base position.
Slowly move both feet backward and fotward, bending
them from the ankle joints. Try to stretch the feet fotward
to touch the floor and then draw them back towards the
knees. Hold each position for a few seconds.
Repeat 10 times.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale as the feet move backward.
Exhale as the feet move fotward.","On the stretch in the foot, ankle, calf and leg, and
the breath.",,,,,Beginners
3,Goolf Chakra,"Remain in the base position.
Keep the legs shoulder-width apart and straight.
Keep the heels on the ground throughout the practice.
Stage I : Slowly rotate the right foot clockwise from the ankle
10 times and then repeat 10 times anti-clockwise.
Repeat the same procedure with the left foot.
Stage 2: Slowly rotate both feet together in the same direction.
Focus on rotating the feet and not the knees.
Practise 10 times clockwise and then 10 times anti-clockwise.
Stage 3: Keep the feet separated.
Slowly rotate both feet from the ankles together, but in
opposite directions.
Do 10 rotations in one direction and then 10 rotations in
the opposite direction.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale on the upward movement.
Exhale on the downward movement.",On the rotation of the ankle and the breath.,,,,,Beginners
4,Goolf Ghooman,"Remain in the base position.
Bend the right knee and bring the foot towards the groin.
Tum the knee out to the side and if there is no strain,
gently place the foot on the left thigh.
Make sure the ankle is far enough over the thigh to be free
for rotation.
Hold the right ankle with the right hand.
Hold the toes of the right foot with the left hand.
With the aid of the left hand, slowly rotate the right foot 10
times clockwise, then 10 times anti-clockwise.
Change the leg and repeat with the left foot placed on the
right thigh.","All the foot and calf asanas help in returning the
stagnant lymph and venous blood. They thus relieve
tiredness and cramp, and help prevent venous thrombosis,
especially in bedridden, post-operative patients.",,"Inhale on the upward movement.
Exhale on the downward movement.",On the rotation and the breath.,,,,,Beginners
5,Janufalak Akarshan,"Stay in the base position.
Gently contract the muscle surrounding the right knee,
drawing the kneecap back towards the thigh.
Hold the contraction for 3 to 5 seconds, counting mentally.
Release the contraction and let the kneecap return to its
normal position.
Practise 10 times. Repeat with the left kneecap 10 times,
then with both kneecaps together.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale while contracting.
Exhale while relaxing the knee muscles.",On the contraction and the breath.,,,,,Beginners
6,Janu Naman,"Stage I: Stay in the base position. Bend the right knee, bringing
the thigh near the chest and clasp the hands under the
right thigh.
Straighten the right leg, pulling up the kneecap.
Keep the hands under the thigh, but straighten the arms.
Keep the heel about 10 ems off the floor.
Again bend the right knee so that the thigh comes close to
the chest and the heel near the groin.
Keep the head and spine straight. This is one round.
Practise 1 0 rounds with the right leg and then 1 0 rounds
with the left leg.
Stage 2: Bend both knees together, bringing the thighs near
the chest and place the feet on the floor in front of the
groin.
Hold the backs of the thighs.
Raise the feet slightly from the floor and balance on the
buttocks.
Straighten the legs as much as you can without straining.
The arms straighten naturally while the hands continue to
support the thighs.
Point the toes forward.
The hands and arms should support and maintain the
stability of the body. Keep the head and spine upright.
Remain in the position for a few seconds.
Bend the knees and bring the legs back to the starting
position, keeping the heels slightly above the floor.
Draw the toes back towards the shins.
This is one round.
Practise 5 to 10 rounds, keeping the heels off the floor
throughout the practice.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.","Stage 2 is a strenuous practice and should
not be attempted by people with weak abdominal muscles,
back conditions, high blood pressure or heart conditions.","Inhale while straightening the legs.
Exhale while bending the legs.","On the knee bend and associated movement and
balance, and the breath.",,,,,Beginners
7,Janu Chakra,"Sit in the base position.
Bend the right knee and bring the thigh near the chest.
Place the hands under the right thigh and interlock the
fingers or cross the arms holding the elbows.
Raise the right foot from the ground.
Rotate the lower leg from the knee in a large circular
movement; try to straighten the leg at the top of the upward
movement.
The upper leg and trunk should be completely still.
Rotate I 0 times clockwise and then I 0 times anti-clockwise.
Repeat with the left leg.","Since the knee joint bears the whole weight of the
body and has no strong muscles for support, it is most
vulnerable to injuries, sprains and osteoarthritis. All the
knee asanas strengthen the quadriceps muscle and the
ligaments around the knee joint. These asanas rejuvenate
the joint by activating the healing energies.",,"Inhale on the upward movement.
Exhale on the downward movement.","On the movement and perfection of circular
rotation, and the breath.",,,,,Beginners
8,Ardha Titali Asana,"Sit in the base position.
Bend the right leg and place the right foot comfortably on
the left thigh.
Place the right hand on top of the bent right knee.
Hold the toes of the right foot with the left hand.
This is the starting position.
Stage I: with breath synchronization
\Vhile breathing in, gently Inove the right knee up towards
the chest. Breathing out, gently push the knee down and
try to touch the knee to the floor.
The trunk should not move.
Do not force this move1nent in any way.
The leg muscles should be passive, the movement being
achieved by the exertion of the right arm.
Slowly practise 10 up and down movements.Stage 2: without breath synchronization
Remain in the same position with the right leg on the left
thigh.
Relax the right leg muscles as much as possible.
Push the right knee down with the right hand and try to
touch the knee to the floor. Do not strain.
Let the knee spring up by itself.
The n1ovement is achieved by use of the right arm only.
Practise 30 up and down movements in quick succession.
Breathing should be normal and unrelated to the practice.
Repeat stages 1 and 2 and the unlocking procedure (see
note below) with the left leg.","This is an excellent preparatory practice for loos-
ening up the knee and hip joints for meditative poses.

Those people who cannot sit con1fortably in cross-legged
positions should practise ardha titali asana daily, both
morning and evening.",,,"On the movement of the knee, ankle and hip
joints, relaxation of the inner thigh muscles, and the breath. On the tnovement of the knee, ankle and hip
joints and relaxation of the inner thigh muscles.",,,,,Beginners
9,Shroni Chakra,"Sit in the same starting position as for ardha titali asana
with the right foot on the left thigh.
Use the right hand to rotate the right knee in a circle and
make the circular movement as large as possible.
The index finger may be pointed out and used as a guide
to perfection of the circular movement.

Practise 10 rotations clockwise and then 10 rotations anti-
clockwise.

Straighten the leg slowly.
Repeat with the left leg.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale on the upward movement.
Exhale on the downward movement.","On the rotation of the knee, ankle and hip joint,
and the breath.",,,,,Beginners
10,Pooma Titali Asana,"Sit in the base position.
Bend the knees and bring the soles of the feet together,
keeping the heels as close to the perineum as possible.
Fully relax the inner thigh muscles.
Stage I : Clasp the feet with both hands.
Gently move the knees up and then down towards the
floor, but do not use any force.
Practise up to 30 up and down movements.
Stage 2: Keep the soles of the feet together.
Place the hands on the knees.
Using the hands, gently push the knees down towards the
floor, allowing them to spring up again.
Do not force this movement.
Repeat 10 to 30 times. Straighten the legs and relax.","Both stages prepare the legs for mastery of
padmasana and other meditative asanas. The inner thigh
muscles hold a lot of tension which is relieved by these
asanas. They also remove tiredness due to long hours of
standing and walking.","People with sciatica and sacral conditions
should avoid this asana.","Normal breathing, unrelated to the practice.","On the hip joint, movement and relaxation.",,,,,Beginners
