Index,Word
1,<OOV>
2,asana
3,muscles
4,body
5,organs
6,helps
7,strengthens
8,abdominal
9,blood
10,tones
11,energy
12,mudra
13,legs
14,joints
15,nervous
16,practice
17,balance
18,asanas
19,physical
20,improves
21,stretches
22,useful
23,nerves
24,spine
25,stimulates
26,pelvic
27,pressure
28,mind
29,develops
30,benefits
31,excellent
32,lower
33,shoulders
34,spinal
35,reproductive
36,flow
37,chakra
38,especially
39,tension
40,massages
41,meditation
42,circulation
43,awareness
44,neck
45,sense
46,constipation
47,heart
48,region
49,digestive
50,brain
51,self
52,prana
53,relieves
54,area
55,effect
56,induces
57,concentration
58,improving
59,good
60,posture
61,mental
62,coordination
63,beneficial
64,gives
65,arms
66,liver
67,weight
68,hips
69,thighs
70,shoulder
71,chest
72,abdomen
73,pose
74,leg
75,problems
76,exercise
77,particularly
78,relaxation
79,disorders
80,balances
81,loosening
82,blockages
83,state
84,increases
85,knees
86,mooladhara
87,stimulating
88,entire
89,spiritual
90,makes
91,supple
92,eliminating
93,removes
94,rheumatism
95,high
96,confidence
97,relieve
98,hip
99,loosens
100,stretch
101,bandha
102,hands
103,group
104,concerned
105,debilitated
106,arthritis
107,ail
108,ments
109,vigorous
110,advised
111,meditative
112,people
113,toning
114,muscular
115,upper
116,relieving
117,encourages
118,level
119,sexual
120,control
121,pranic
122,glands
123,sirshasana
124,anger
125,addition
126,anxiety
127,stiffness
128,removing
129,feet
130,systems
131,relaxes
132,lungs
133,peristalsis
134,psychic
135,diaphragm
136,kidneys
137,visceral
138,gland
139,manipura
140,knee
141,inner
142,remove
143,head
144,vertebrae
145,deep
146,blades
147,ailments
148,eye
149,breath
150,chakras
151,redirects
152,reduces
153,nostrils
154,right
155,left
156,regulates
157,adrenal
158,alleviating
159,asthma
160,pancreas
161,activates
162,reverses
163,fingers
164,energies
165,thigh
166,related
167,strain
168,maintain
169,menstrual
170,buttocks
171,time
172,toned
173,performed
174,practised
175,flexibility
176,pelvis
177,revitalizes
178,inducing
179,increased
180,pain
181,perineum
182,position
183,moola
184,alleviates
185,stomach
186,awaken
187,removed
188,thyroid
189,preparation
190,excess
191,awakening
192,generally
193,secretions
194,diabetes
195,intestinal
196,develop
197,internal
198,powerful
199,carbon
200,dioxide
201,nadi
202,neti
203,tiredness
204,long
205,prolonged
206,tion
207,psycho
208,exercises
209,helpful
210,allows
211,reduced
212,process
213,upward
214,calming
215,vajroli
216,brahmacharya
217,purposes
218,balancing
219,nerve
220,calms
221,emotional
222,forms
223,backache
224,health
225,alleviate
226,paschimottanasana
227,stimulate
228,root
229,states
230,tranquillity
231,nadis
232,circuit
233,practitioner
234,foot
235,help
236,padmasana
237,correct
238,wind
239,pregnancy
240,months
241,arm
242,balanced
243,eyes
244,suffering
245,sciatica
246,periods
247,simple
248,air
249,relaxing
250,cause
251,veins
252,sahasrara
253,supply
254,making
255,pranayama
256,influences
257,influence
258,stability
259,female
260,digestion
261,functioning
262,bhujangasana
263,intestines
264,flexible
265,breathing
266,increase
267,face
268,respiratory
269,increasing
270,hamstring
271,disturbances
272,form
273,rectify
274,glandular
275,aids
276,important
277,stress
278,creates
279,maha
280,sinuses
281,stagnant
282,prevent
283,strong
284,ligaments
285,activating
286,healing
287,preparatory
288,practise
289,caused
290,work
291,cervical
292,spondylitis
293,release
294,massaging
295,diges
296,sitting
297,bringing
298,column
299,women
300,releases
301,profound
302,simultaneously
303,stretched
304,alternately
305,viewing
306,lateral
307,power
308,slipped
309,disc
310,sciatic
311,bending
312,postures
313,facilitates
314,given
315,trunk
316,experience
317,normally
318,centres
319,presses
320,automatically
321,locks
322,cord
323,affects
324,piles
325,ajna
326,open
327,activities
328,throat
329,giving
330,inverted
331,rounded
332,oxygen
333,postural
334,helping
335,waist
336,movement
337,lightness
338,depression
339,stimulated
340,function
341,vitality
342,appetite
343,massaged
344,tendency
345,wrists
346,processes
347,brings
348,considered
349,greatest
350,psychological
351,hay
352,fever
353,menopausal
354,imbalance
355,disorder
356,gravity
357,alleviated
358,reversed
359,regions
360,tissue
361,regen
362,eration
363,exhalation
364,larger
365,amounts
366,soothing
367,toxins
368,phlegm
369,apana
370,rate
371,pingala
372,jnana
373,chin
374,finger
375,palms
376,consciousness
377,cramp
378,post
379,joint
380,sit
381,cross
382,morning
383,limbs
384,effective
385,improve
386,adjustment
387,plexus
388,fo
389,order
390,regulating
391,flatulence
392,prepares
393,compresses
394,runs
395,focusing
396,sleep
397,physically
398,mentally
399,pratyahara
400,stiff
401,compression
402,backward
403,bent
